CustomerID,Recency,Frequency,MonetaryValue,Cluster
12347.0,2,155,2783.37,1
12348.0,249,6,90.2,1
12349.0,19,57,939.75,1
12350.0,310,16,294.40000000000003,1
12352.0,36,68,1101.09,1
12353.0,204,2,29.300000000000004,1
12354.0,232,39,642.13,1
12355.0,214,8,179.4,1
12356.0,246,25,491.06,1
12357.0,33,67,1289.35,1
12358.0,2,6,92.82,1
12359.0,8,173,2989.63,1
12360.0,52,116,1793.36,1
12361.0,287,9,174.9,1
12362.0,3,227,3884.89,1
12363.0,110,17,345.78,1
12364.0,8,78,1106.28,1
12365.0,291,20,307.94,1
12367.0,4,9,138.3,1
12370.0,51,137,1923.98,1
12371.0,60,56,1201.46,1
12372.0,72,39,663.54,1
12373.0,311,10,221.1,1
12374.0,25,28,479.71,1
12375.0,3,12,198.02,1
12377.0,315,68,1157.52,1
12378.0,130,190,3188.62,1
12379.0,82,37,658.29,1
12380.0,22,87,1500.8,1
12381.0,5,78,1212.11,1
12383.0,185,74,1057.79,1
12384.0,29,19,277.16,1
12386.0,367,6,144.3,1
12388.0,16,74,1465.66,1
12390.0,80,26,407.74,1
12391.0,22,90,406.88,1
12393.0,72,58,1193.5,1
12394.0,217,19,331.18,1
12395.0,16,124,1824.22,1
12397.0,36,109,1720.01,1
12398.0,46,80,1273.24,1
12399.0,119,45,684.6,1
12401.0,303,2,32.85,1
12402.0,323,10,195.6,1
12403.0,50,1,9.9,1
12405.0,149,34,708.57,1
12406.0,22,76,1646.22,1
12407.0,50,58,932.01,1
12408.0,33,86,1280.79,1
12409.0,79,12,146.89,1
12410.0,301,14,230.88,1
12412.0,75,50,820.5,1
12413.0,67,31,545.2,1
12414.0,217,9,174.45000000000002,1
12415.0,37,126,345.3,1
12417.0,3,140,2079.5,1
12418.0,113,23,314.21,1
12420.0,64,19,340.7,1
12421.0,16,40,606.8000000000001,1
12422.0,96,37,645.3100000000001,1
12423.0,1,110,1439.49,1
12424.0,163,15,233.92,1
12425.0,78,29,467.34,1
12426.0,195,25,446.08,1
12427.0,22,23,375.01,1
12428.0,26,229,3759.0,1
12429.0,9,55,1049.34,1
12430.0,43,8,129.0,1
12431.0,36,179,3017.51,1
12432.0,43,54,840.1800000000001,1
12433.0,1,237,4304.1,1
12434.0,85,40,501.24,1
12436.0,100,10,207.16,1
12437.0,2,139,2544.42,1
12438.0,14,72,1312.12,1
12441.0,367,10,155.55,1
12442.0,3,11,144.06,1
12444.0,21,121,2119.61,1
12445.0,22,3,77.4,1
12446.0,58,46,734.36,1
12447.0,243,22,379.79,1
12448.0,44,19,283.95,1
12449.0,22,154,2573.64,1
