CustomerID,Recency,Frequency,MonetaryValue,Cluster
12347.0,2,155,2783.37,3
12348.0,249,6,90.2,2
12349.0,19,57,939.75,3
12350.0,310,16,294.40000000000003,2
12352.0,36,68,1101.09,3
12353.0,204,2,29.300000000000004,2
12354.0,232,39,642.13,2
12355.0,214,8,179.4,2
12356.0,246,25,491.06,2
12357.0,33,67,1289.35,3
12358.0,2,6,92.82,3
12359.0,8,173,2989.63,3
12360.0,52,116,1793.36,3
12361.0,287,9,174.9,2
12362.0,3,227,3884.89,4
12363.0,110,17,345.78,3
12364.0,8,78,1106.28,3
12365.0,291,20,307.94,2
12367.0,4,9,138.3,3
12370.0,51,137,1923.98,3
12371.0,60,56,1201.46,3
12372.0,72,39,663.54,3
12373.0,311,10,221.1,2
12374.0,25,28,479.71,3
12375.0,3,12,198.02,3
12377.0,315,68,1157.52,2
12378.0,130,190,3188.62,3
12379.0,82,37,658.29,3
12380.0,22,87,1500.8,3
12381.0,5,78,1212.11,3
12383.0,185,74,1057.79,2
12384.0,29,19,277.16,3
12386.0,367,6,144.3,2
12388.0,16,74,1465.66,3
12390.0,80,26,407.74,3
12391.0,22,90,406.88,3
12393.0,72,58,1193.5,3
12394.0,217,19,331.18,2
12395.0,16,124,1824.22,3
12397.0,36,109,1720.01,3
12398.0,46,80,1273.24,3
12399.0,119,45,684.6,3
12401.0,303,2,32.85,2
12402.0,323,10,195.6,2
12403.0,50,1,9.9,3
12405.0,149,34,708.57,3
12406.0,22,76,1646.22,3
12407.0,50,58,932.01,3
12408.0,33,86,1280.79,3
12409.0,79,12,146.89,3
12410.0,301,14,230.88,2
12412.0,75,50,820.5,3
12413.0,67,31,545.2,3
12414.0,217,9,174.45000000000002,2
12415.0,37,126,345.3,3
12417.0,3,140,2079.5,3
12418.0,113,23,314.21,3
12420.0,64,19,340.7,3
12421.0,16,40,606.8000000000001,3
12422.0,96,37,645.3100000000001,3
12423.0,1,110,1439.49,3
12424.0,163,15,233.92,2
12425.0,78,29,467.34,3
12426.0,195,25,446.08,2
12427.0,22,23,375.01,3
12428.0,26,229,3759.0,4
12429.0,9,55,1049.34,3
12430.0,43,8,129.0,3
12431.0,36,179,3017.51,3
12432.0,43,54,840.1800000000001,3
12433.0,1,237,4304.1,4
12434.0,85,40,501.24,3
12436.0,100,10,207.16,3
12437.0,2,139,2544.42,3
12438.0,14,72,1312.12,3
12441.0,367,10,155.55,2
12442.0,3,11,144.06,3
12444.0,21,121,2119.61,3
12445.0,22,3,77.4,3
12446.0,58,46,734.36,3
12447.0,243,22,379.79,2
12448.0,44,19,283.95,3
12449.0,22,154,2573.64,3
12450.0,156,7,131.88,2
12451.0,11,246,4307.89,4
12452.0,17,20,285.67,3
12453.0,134,43,707.09,3
12455.0,73,60,932.86,3
12456.0,44,98,1438.09,3
12457.0,58,47,815.9300000000001,3
12458.0,71,30,565.58,3
12461.0,155,29,419.08,3
12462.0,2,52,612.12,3
12463.0,53,79,1143.98,3
12464.0,150,4,76.5,3
12465.0,8,47,613.19,3
12468.0,143,34,499.69,3
12471.0,2,350,5443.22,4
12472.0,31,341,4350.79,4
12473.0,54,146,2113.09,3
12474.0,17,400,5749.07,4
12475.0,54,29,483.34,3
12476.0,1,171,2781.9500000000003,3
12477.0,23,175,3311.37,3
12478.0,4,32,479.59,3
12479.0,4,31,396.45,3
12480.0,28,134,2178.14,3
12481.0,23,161,2983.7,3
12483.0,17,56,1076.42,3
12484.0,35,313,3320.08,4
12488.0,10,41,700.64,3
12489.0,336,10,191.43,2
12490.0,5,207,3575.13,4
12491.0,39,23,350.75,3
12492.0,63,18,227.21,3
12493.0,166,18,332.91,2
12494.0,16,68,931.65,3
12497.0,82,1,20.4,3
12498.0,21,21,349.70000000000005,3
12500.0,36,24,296.84000000000003,3
12501.0,315,148,1816.95,2
12502.0,96,89,1403.62,3
12504.0,30,2,60.0,3
12505.0,301,1,-4.5,2
12506.0,233,21,57.6,2
12507.0,134,10,206.1,3
12508.0,26,68,397.88,3
12509.0,284,3,25.5,2
12510.0,143,27,467.65,3
12512.0,66,30,124.23,3
12513.0,113,33,520.04,3
12514.0,267,43,737.98,2
12515.0,353,11,190.8,2
12516.0,78,7,104.08,3
12517.0,28,265,2176.85,3
12518.0,1,112,1654.03,3
12519.0,64,15,242.84,3
12520.0,79,136,1994.24,3
12521.0,143,33,457.43,3
12522.0,39,9,152.72,3
12523.0,2,80,1231.61,3
12524.0,9,88,1484.01,3
12526.0,1,63,1074.46,3
12527.0,82,14,195.91,3
12528.0,9,62,971.83,3
12530.0,60,47,843.4200000000001,3
12531.0,15,16,95.27,3
12532.0,30,13,252.33,3
12534.0,131,55,828.73,3
12535.0,92,26,488.75,3
12536.0,8,231,3458.88,4
12538.0,29,16,258.75,3
12539.0,22,230,4017.4,4
12540.0,20,345,6031.14,4
12541.0,30,45,721.38,3
12544.0,36,17,284.9,3
12545.0,75,40,698.8,3
12546.0,47,64,969.58,3
12547.0,198,6,151.8,2
12548.0,166,4,67.19999999999999,2
12550.0,79,52,748.88,3
12551.0,358,10,168.0,2
12552.0,40,9,165.47,3
12553.0,8,168,2715.77,3
12556.0,50,111,513.66,3
12558.0,2,13,125.0,3
12559.0,320,14,210.96,2
12560.0,5,96,1459.82,3
12561.0,303,14,207.05,2
12562.0,8,144,2473.2200000000003,3
12564.0,261,17,336.15000000000003,2
12565.0,282,10,131.17000000000002,2
12566.0,73,15,217.18,3
12567.0,23,388,6442.75,4
12569.0,2,130,2345.09,3
12571.0,40,32,489.37,3
12572.0,9,50,647.9200000000001,3
12573.0,227,27,150.59,2
12574.0,316,9,162.55,2
12576.0,36,84,1216.46,3
12577.0,35,142,570.65,3
12578.0,21,105,1863.71,3
12579.0,73,25,317.42,3
12580.0,247,23,379.7,2
12581.0,40,13,169.76,3
12582.0,239,18,313.92,2
12583.0,3,154,2540.88,3
12584.0,4,60,652.4000000000001,3
12585.0,234,79,1149.01,2
12586.0,17,10,186.54,3
12587.0,8,1,20.8,3
12588.0,39,5,79.65,3
12589.0,29,26,417.28,3
12590.0,190,2,-2.88,2
12591.0,317,22,323.1,2
12592.0,92,14,350.6,3
12593.0,109,19,342.6,3
12594.0,47,86,1865.22,3
12596.0,51,18,288.27,3
12597.0,19,166,2484.93,3
12598.0,10,97,1739.01,3
12599.0,29,51,719.38,3
12600.0,29,35,603.9200000000001,3
12601.0,190,22,364.01,2
12602.0,59,11,129.22,3
12603.0,22,1,0.0,3
12604.0,79,15,236.18,3
12605.0,365,3,-7.5,2
12607.0,58,142,855.58,3
12609.0,78,50,846.11,3
12610.0,23,87,1384.39,3
12611.0,52,58,884.92,3
12612.0,58,10,209.0,3
12613.0,31,144,2495.1,3
12614.0,278,14,218.15,2
12615.0,2,82,1389.83,3
12616.0,95,27,368.55,3
12617.0,29,39,333.08,3
12618.0,22,9,121.41,3
12619.0,16,50,644.27,3
12620.0,15,80,1100.14,3
12621.0,2,360,6018.81,4
12622.0,232,8,123.85,2
12623.0,276,16,230.1,2
12624.0,106,31,492.78,3
12625.0,212,66,1025.42,2
12626.0,23,250,3892.02,4
12627.0,11,194,3314.0,4
12628.0,4,38,648.61,3
12630.0,10,55,905.08,3
12631.0,57,25,396.0,3
12633.0,59,88,1335.79,3
12635.0,90,90,1357.69,3
12637.0,67,338,4301.13,4
12638.0,33,37,498.25,3
12639.0,239,18,325.3,2
12640.0,25,35,549.77,3
12641.0,115,8,128.9,3
12642.0,25,36,558.25,3
12643.0,221,2,12.08,2
12644.0,130,27,417.12,3
12645.0,34,57,1044.78,3
12646.0,5,32,675.44,3
12647.0,22,83,1317.66,3
12648.0,155,19,255.3,3
12649.0,107,22,329.75,3
12650.0,3,18,147.64,3
12651.0,335,9,114.0,2
12652.0,322,46,680.0300000000001,2
12653.0,149,26,532.7,3
12654.0,11,32,499.33,3
12656.0,17,84,1617.25,3
12657.0,11,27,523.4,3
12658.0,19,28,495.8,3
12659.0,30,3,45.6,3
12660.0,11,11,203.7,3
12662.0,1,208,3232.53,4
12664.0,87,7,108.0,3
12665.0,325,3,43.75,2
12667.0,58,29,410.23,3
12668.0,7,137,2179.63,3
12669.0,151,91,1319.92,3
12670.0,10,61,1204.27,3
12672.0,330,7,118.05,2
12673.0,5,34,420.62,3
12674.0,12,71,1163.56,3
12676.0,25,35,749.39,3
12678.0,43,28,424.19,3
12679.0,52,45,595.46,3
12680.0,1,46,736.97,3
12681.0,15,496,7731.0,4
12682.0,4,416,7171.37,4
12683.0,4,293,4530.48,4
12684.0,8,82,1332.39,3
12685.0,28,141,2237.25,3
12686.0,372,6,71.14,2
12688.0,114,114,1974.8,3
12689.0,26,64,937.65,3
12690.0,206,13,265.11,2
12691.0,58,21,402.8,3
12693.0,127,29,461.51,3
12694.0,70,26,400.82,3
12695.0,7,15,232.16,3
12697.0,21,37,583.89,3
12700.0,8,231,3561.64,4
12701.0,80,46,652.45,3
12702.0,20,11,201.0,3
12703.0,64,21,256.7,3
12704.0,7,61,1013.82,3
12705.0,15,285,4371.99,4
12707.0,292,28,375.82,2
12708.0,30,144,1968.27,3
12709.0,3,140,2097.88,3
12710.0,97,69,909.82,3
12712.0,29,75,1489.63,3
12713.0,1,34,628.5,3
12714.0,9,231,3494.55,4
12715.0,106,19,263.36,3
12716.0,4,63,912.91,3
12717.0,151,51,774.03,3
12718.0,71,17,182.35,3
12719.0,5,35,497.1,3
12720.0,3,308,4276.53,4
12721.0,32,140,2054.14,3
12722.0,115,43,666.7,3
12723.0,4,61,519.13,3
12724.0,5,47,834.01,3
12725.0,371,23,371.8,2
12726.0,28,85,1411.5,3
12727.0,11,102,1702.7,3
12728.0,71,33,525.73,3
12729.0,114,22,360.71,3
12731.0,24,98,2401.83,3
12732.0,180,10,178.26000000000002,2
12733.0,234,20,276.85,2
12734.0,353,2,16.8,2
12735.0,315,27,375.07,2
12738.0,372,8,110.4,2
12739.0,99,30,456.6,3
12740.0,64,24,344.8,3
12743.0,134,120,418.93,3
12744.0,56,100,1843.94,3
12747.0,2,60,1328.29,3
12748.0,1,4041,18949.02,6
12749.0,4,166,2469.73,3
12750.0,129,9,144.29999999999998,3
12752.0,81,9,164.6,3
12753.0,4,31,-13.849999999999998,3
12754.0,277,49,61.62,2
12755.0,281,2,7.6,2
12756.0,87,3,50.88,3
12757.0,16,332,2872.65,4
12758.0,117,57,1032.03,3
12759.0,52,85,1279.09,3
12762.0,8,55,901.07,3
12763.0,369,15,260.08,2
12764.0,317,25,500.33,2
12766.0,4,259,4820.8,4
12769.0,239,16,317.34000000000003,2
12772.0,60,45,615.3199999999999,3
12775.0,17,45,855.14,3
12778.0,20,35,492.49,3
12779.0,21,102,1936.52,3
12781.0,21,12,235.64,3
12782.0,5,90,1513.57,3
12783.0,2,62,1011.3,3
12784.0,15,54,455.47,3
12785.0,3,12,190.76,3
12787.0,10,14,274.66,3
12790.0,192,16,199.42,2
12792.0,257,23,329.59000000000003,2
12793.0,335,21,395.48,2
12794.0,53,41,698.3100000000001,3
12795.0,19,8,144.63,3
12797.0,360,15,146.28,2
12802.0,184,25,382.58,2
12808.0,37,26,445.7,3
12809.0,168,22,338.46000000000004,2
12811.0,262,27,416.55,2
12812.0,45,15,229.64,3
12815.0,148,37,648.0600000000001,3
12816.0,96,17,265.90000000000003,3
12817.0,281,1,27.04,2
12818.0,178,5,72.65,2
12820.0,3,57,885.82,3
12821.0,214,5,75.72,2
12822.0,71,41,743.28,3
12824.0,60,22,316.42,3
12826.0,3,93,1454.2,3
12827.0,6,24,385.6,3
12828.0,3,52,871.51,3
12829.0,337,2,28.5,2
12831.0,262,5,82.75,2
12832.0,32,26,366.53,3
12833.0,145,17,307.03000000000003,3
12834.0,283,11,201.08,2
12836.0,59,131,1390.11,3
12837.0,173,7,58.75,2
12838.0,34,114,575.3000000000001,3
12839.0,3,290,4770.87,4
12840.0,144,111,2438.67,3
12841.0,5,393,3004.77,4
12842.0,70,24,419.71,3
12843.0,160,88,1092.99,3
12844.0,29,52,325.96000000000004,3
12845.0,269,23,54.79,2
12847.0,22,68,435.49,3
12849.0,31,36,470.89,3
12851.0,97,45,104.91,3
12852.0,290,18,252.35,2
12853.0,135,60,1023.0,3
12854.0,79,101,917.49,3
12855.0,373,3,38.1,2
12856.0,8,298,1905.61,3
12857.0,211,37,735.6,2
12863.0,52,2,49.8,3
12864.0,138,1,10.2,3
12865.0,26,86,1355.82,3
12866.0,283,20,344.92,2
12867.0,26,528,3437.29,4
12868.0,186,103,1534.71,2
12870.0,366,1,-4.95,2
12871.0,84,8,120.54,3
12872.0,327,61,465.82,2
